,0,1,2
0,[6 6 6 6 6],0.0,30
1,[5 6 6 6 6],0.07324083636673168,29
2,[4 5 5 5 6],0.1314878514832746,25
3,[4 6 6 6 6],0.15707250439621628,28
4,[3 5 5 5 6],0.2245404301760296,24
5,[3 5 5 6 6],0.24272937257234004,25
6,[3 6 6 6 6],0.25561191908930836,27
7,[2 4 4 4 6],0.3410813774021088,20
8,[2 5 5 5 6],0.34770985132671395,23
9,[2 5 5 6 6],0.36301141042650104,24
10,[2 5 6 6 6],0.3723340495537703,25
11,[2 6 6 6 6],0.3767278564767724,26
12,[5 5 6 6 6],1.0620548091603155,28
13,[4 5 6 6 6],1.1080714171287678,27
14,[4 4 5 5 6],1.1087036494176332,24
15,[4 4 5 6 6],1.1263919334491141,25
16,[4 4 6 6 6],1.1357534313283257,26
17,[3 4 5 5 6],1.1605860395204022,23
18,[3 5 6 6 6],1.1716255607464567,26
19,[3 4 5 6 6],1.1773280252305687,24
20,[3 3 4 4 6],1.1845919112825145,20
21,[3 4 6 6 6],1.1876355104723317,25
22,[3 3 5 5 6],1.1961794547831621,22
23,[3 3 5 6 6],1.2140999604704328,23
24,[3 3 6 6 6],1.2259955169193288,24
25,[2 4 5 5 6],1.2392563348590737,22
26,[2 3 4 4 6],1.2472005867626683,19
27,[2 4 5 6 6],1.2533450444097785,23
28,[2 3 4 5 6],1.2575244994439554,20
29,[2 3 5 5 6],1.262504582078197,21
30,[2 4 6 6 6],1.2627406326654305,24
31,[2 3 5 6 6],1.2788281718646717,22
32,[2 3 6 6 6],1.2902320253031794,23
33,[2 2 4 4 6],1.2946859414778507,18
34,[2 2 4 5 6],1.306904689138207,19
35,[2 2 5 5 6],1.3139483427520966,20
36,[2 2 4 6 6],1.3278624927476523,20
37,[2 2 5 6 6],1.3302897042685822,21
38,[2 2 6 6 6],1.3420583581375713,22
39,[5 5 5 6 6],2.0503167331657752,27
40,[4 5 5 6 6],2.081963428408138,26
41,[4 4 4 5 6],2.0944272830101647,23
42,[4 4 4 6 6],2.112514965614312,24
43,[3 4 4 5 6],2.1296148132809445,22
44,[3 4 4 6 6],2.1470655764471775,23
45,[3 3 4 5 6],2.1540671234885598,21
46,[3 3 3 4 6],2.1610744752030002,19
47,[3 3 3 5 6],2.1719664625809347,20
48,[3 3 4 6 6],2.1726194232702363,22
49,[2 4 4 5 6],2.1894943722729305,21
50,[3 3 3 6 6],2.192457809851488,21
51,[2 4 4 6 6],2.2041789981376687,22
52,[2 3 3 4 6],2.2047133935826513,18
53,[2 3 3 5 6],2.2166064661832787,19
54,[2 3 4 6 6],2.2218365325096485,21
55,[2 3 3 6 6],2.2359583315560156,20
56,[2 2 3 4 6],2.2383893540765936,17
57,[2 2 3 5 6],2.25190408403942,18
58,[2 2 2 3 6],2.261052384440103,15
59,[2 2 2 4 6],2.2654725714277326,16
60,[2 2 3 6 6],2.271478114579394,19
61,[2 2 2 5 6],2.2810734601185967,17
62,[2 2 2 6 6],2.3016149242234203,18
63,[5 5 5 5 6],3.0356106151577023,26
64,[4 4 4 4 6],3.08159427915479,22
65,[3 4 4 4 6],3.1074599882994245,21
66,[3 3 3 3 6],3.1442622447296924,18
67,[2 3 3 3 6],3.177012413945232,17
68,[2 2 3 3 6],3.2022538379624694,16
69,[2 2 2 2 6],3.237217877919244,14
