,0,1,2
0,[14 15 15 16],0.04358240357024755,60
1,[13 15 15 16],0.06920083075327231,59
2,[13 15 16 16],0.07684929437714141,60
3,[12 14 14 16],0.09362626888013033,56
4,[12 15 15 16],0.09812604467855429,58
5,[12 15 16 16],0.10584952374716447,59
6,[12 16 16 16],0.11075872302442086,60
7,[11 14 14 16],0.12223951043559352,55
8,[11 14 15 16],0.12702206584146047,56
9,[11 15 15 16],0.12948849766335963,57
10,[11 15 16 16],0.13711740645190654,58
11,[11 16 16 16],0.14247287199670616,59
12,[10 13 13 16],0.15204255034966097,52
13,[10 14 14 16],0.15445440794469414,54
14,[10 14 15 16],0.15981492730241031,55
15,[10 15 15 16],0.16321110327567265,56
16,[10 14 16 16],0.16912704345439614,56
17,[10 15 16 16],0.17066563325333112,57
18,[10 16 16 16],0.17622048670947194,58
19,[ 9 13 13 16],0.18521526707913116,51
20,[ 9 13 14 16],0.1884364130765812,52
21,[ 9 14 14 16],0.18991255498498588,53
22,[ 9 14 15 16],0.19554234236754506,54
23,[ 9 15 15 16],0.19947461413652656,55
24,[ 9 14 16 16],0.20438690597961512,55
25,[ 9 15 16 16],0.20670139920629685,56
26,[ 9 16 16 16],0.2123031295246888,57
27,[ 8 12 12 16],0.221742176747604,48
28,[ 8 13 13 16],0.22258152276360757,50
29,[ 8 13 14 16],0.22640857234999773,51
30,[ 8 14 14 16],0.2286932375547242,52
31,[ 8 13 15 16],0.23358903528758287,52
32,[ 8 14 15 16],0.23439647761310994,53
33,[ 8 15 15 16],0.23861297800613576,54
34,[ 8 14 16 16],0.24277216473655613,54
35,[ 8 15 16 16],0.24556583454059075,55
36,[ 8 16 16 16],0.2511054636968916,56
37,[ 7 12 12 16],0.2615426834717148,47
38,[ 7 12 13 16],0.26360161538260024,48
39,[ 7 13 13 16],0.26423244252694883,49
40,[ 7 13 14 16],0.26838102706418776,50
41,[ 7 14 14 16],0.2711551995807538,51
42,[ 7 13 15 16],0.2753370002034598,51
43,[ 7 14 15 16],0.2767905687918184,52
44,[ 7 15 15 16],0.2811115011644055,53
45,[ 7 13 16 16],0.28445838040940225,52
46,[ 7 14 16 16],0.28468341525656365,53
47,[ 7 15 16 16],0.2877434068230197,54
48,[ 7 16 16 16],0.2931322629991755,55
49,[ 6 12 12 16],0.30678799105998694,46
50,[ 6 11 11 16],0.30754415113363626,44
51,[ 6 12 13 16],0.3093568902350595,47
