,0,1,2
0,[5 5 5 5 5 5 5 5 5 5],0.0,50
1,[4 5 5 5 5 5 5 5 5 5],0.09348269582633353,49
2,[3 4 4 4 4 4 4 4 4 5],0.16496156855726196,40
3,[3 5 5 5 5 5 5 5 5 5],0.2017531626226099,48
4,[2 4 4 4 4 4 4 4 4 5],0.2912585142607537,39
5,[2 4 4 4 4 4 4 4 5 5],0.31145907401955036,40
6,[2 5 5 5 5 5 5 5 5 5],0.3328036974902696,47
7,[4 4 5 5 5 5 5 5 5 5],1.0856074265723104,48
8,[3 3 4 4 4 4 4 4 4 5],1.1388106778581066,39
9,[3 4 5 5 5 5 5 5 5 5],1.1463662070817662,47
10,[3 3 4 4 4 4 4 4 5 5],1.1585683495437071,40
11,[3 3 5 5 5 5 5 5 5 5],1.1868709337586891,46
12,[2 3 4 4 4 4 4 4 4 5],1.21216100492112,38
13,[2 3 4 4 4 4 4 4 5 5],1.2278681096271105,39
14,[2 4 5 5 5 5 5 5 5 5],1.2307935535005172,46
15,[2 3 4 4 4 4 4 5 5 5],1.2395592110104376,40
16,[2 2 3 3 3 3 3 3 3 5],1.2448450151581878,30
17,[2 3 5 5 5 5 5 5 5 5],1.2575357852162763,45
18,[2 2 4 4 4 4 4 4 4 5],1.2647010389536173,37
19,[2 2 4 4 4 4 4 4 5 5],1.2794542004127896,38
20,[2 2 4 4 4 4 4 5 5 5],1.290825285150103,39
21,[2 2 4 4 4 4 5 5 5 5],1.2993882256917788,40
22,[2 2 5 5 5 5 5 5 5 5],1.3121824221593232,44
23,[4 4 4 5 5 5 5 5 5 5],2.0789229120781503,47
24,[3 4 4 5 5 5 5 5 5 5],2.1212704383485677,46
25,[3 3 3 4 4 4 4 4 4 5],2.1254616838328557,38
26,[3 3 3 4 4 4 4 4 5 5],2.1424342626817503,39
27,[3 3 4 5 5 5 5 5 5 5],2.1509137549003836,45
28,[3 3 3 4 4 4 4 5 5 5],2.1546315336485407,40
29,[3 3 3 5 5 5 5 5 5 5],2.174365214448472,44
30,[2 3 3 4 4 4 4 4 4 5],2.1773490569252774,37
31,[2 4 4 5 5 5 5 5 5 5],2.185832419726737,45
32,[2 3 3 4 4 4 4 4 5 5],2.1916089996337895,38
33,[2 3 3 4 4 4 4 5 5 5],2.2024605104434625,39
34,[2 3 4 5 5 5 5 5 5 5],2.2056570592029727,44
35,[2 3 3 4 4 4 5 5 5 5],2.2106020610594728,40
36,[2 2 2 3 3 3 3 3 3 5],2.2156382888117068,29
37,[2 2 3 4 4 4 4 4 4 5],2.2160445133653313,36
38,[2 3 3 5 5 5 5 5 5 5],2.2226807098961694,43
39,[2 2 2 3 3 3 3 3 4 5],2.228927139175071,30
40,[2 2 3 4 4 4 4 4 5 5],2.2295813516535468,37
41,[2 2 3 4 4 4 4 5 5 5],2.240181979696953,38
42,[2 2 2 4 4 4 4 4 4 5],2.2477042053660554,35
43,[2 2 4 5 5 5 5 5 5 5],2.248225253023881,43
44,[2 2 3 4 4 4 5 5 5 5],2.2483807508490967,39
45,[2 2 3 4 4 5 5 5 5 5],2.2545496907216664,40
46,[2 2 2 4 4 4 4 4 5 5],2.261195952876143,36
47,[2 2 3 5 5 5 5 5 5 5],2.261809537953683,42
48,[2 2 2 4 4 4 4 5 5 5],2.271960486214181,37
49,[2 2 2 4 4 4 5 5 5 5],2.280465252752696,38
50,[2 2 2 4 4 5 5 5 5 5],2.2870465754815665,39
51,[2 2 2 4 5 5 5 5 5 5],2.2919552396695324,40
52,[2 2 2 5 5 5 5 5 5 5],2.295383045766008,41
53,[4 4 4 4 5 5 5 5 5 5],3.072550953040849,46
54,[3 4 4 4 5 5 5 5 5 5],3.1050837386388257,45
55,[3 3 3 3 4 4 4 4 4 5],3.115653809962056,37
56,[3 3 4 4 5 5 5 5 5 5],3.128456275747164,44
57,[3 3 3 3 4 4 4 4 5 5],3.1315569172175017,38
58,[3 3 3 3 4 4 4 5 5 5],3.1432516155076344,39
59,[3 3 3 4 5 5 5 5 5 5],3.147018393752373,43
60,[3 3 3 3 4 4 5 5 5 5],3.1518863517398477,40
