,0,1,2
0,[18 18],0.0,36
1,[17 18],0.018667566844853527,35
2,[16 18],0.03844913124734883,34
3,[15 18],0.05946620093866117,33
4,[14 18],0.08186095610021153,32
5,[13 18],0.10580133566887709,31
6,[12 18],0.13148785148327466,30
7,[11 18],0.15916291461776952,29
8,[10 18],0.18912392289825955,28
9,[ 9 18],0.22174217674760408,27
10,[ 8 18],0.25749120456470337,26
11,[ 7 18],0.2969910526960898,25
12,[ 6 18],0.34108137740210875,24
13,[ 5 18],0.39095071759151395,23
14,[ 4 18],0.4483872306828033,22
15,[ 3 18],0.5163324165210947,21
16,[ 2 18],0.6003733141187335,20
